feature,importance
amount_baseline_ratio,19
DE18_merchant_category_code,17
channel,12
amount_vs_hist_avg,12
is_rapid_succession,11
DE6_amount_cardholder_billing,10
distance_from_home_km,10
DE25_pos_condition_code,7
hours_since_last_txn,6
is_hotel,6
DE22_pos_entry_mode,4
time_since_last_txn_min,3
amount_vs_baseline,3
amount_usd,2
amount_local,2
DE52_pin_data_present,1
DE60_pos_terminal_type,1
client_hotel_txn_count_before,0
txn_count_last_1h,0
client_hotel_avg_amount_before,0
amount_vs_channel_avg,0
client_hotel_intl_rate_before,0
client_hotel_first_time,0
hour_deviation_from_usual,0
client_channel_avg_amount_before,0
client_channel_txn_count_before,0
client_intl_rate_before,0
amount_over_hist_std,0
hotel_distance_zscore,0
amount_zscore_customer,0
txn_count_last_24h,0
txn_count_last_7d,0
client_hotel_avg_dist_before,0
client_weekend_rate_before,0
amount_round_flag,0
rapid_country_change,0
merchant_txn_count_before,0
hotel_new_country,0
days_since_last_hotel_txn,0
client_avg_hour_before,0
hotel_amount_zscore,0
client_hotel_std_before,0
amount_vs_max_ever_ratio,0
is_night_transaction,0
unique_countries_last_24h,0
unique_merchants_last_24h,0
amount_zscore_channel,0
client_max_amount_before,0
client_hotel_std_dist_before,0
client_channel_std_before,0
client_segment,0
client_std_amount_before,0
DE51_currency_code_billing,0
DE49_currency_code_transaction,0
DE32_acquiring_institution_id,0
DE23_card_seq_number,0
DE19_acquirer_country_code,0
DE15_settlement_date,0
DE14_expiration_date,0
DE13_local_date,0
DE12_local_time,0
DE11_STAN,0
DE9_conversion_rate_billing,0
DE7_transmission_datetime,0
DE4_amount_transaction,0
DE3_processing_code,0
MTI,0
card_brand,0
DE50_currency_code_settlement,0
DE55_emv_data_present,0
client_avg_amount_before,0
DE58_authorizing_agent_id,0
client_txn_count_before,0
hotel_high_distance,0
hotel_international,0
transaction_day,0
transaction_month,0
client_baseline_amount,0
day_of_week,0
hour_local,0
is_international,0
currency_tx_alpha,0
amount_tx_currency,0
DE123_pos_data_code,0
DE100_receiving_institution_id,0
DE63_network_specific,0
DE61_pos_extended_data,0
client_mcc_diversity_before,0
