number,value,params_colsample_bytree,params_learning_rate,params_max_bin,params_max_depth,params_min_child_samples,params_min_split_gain,params_num_leaves,params_reg_alpha,params_reg_lambda,params_scale_pos_weight,params_subsample,user_attrs_best_iteration
0,0.05182481751824819,0.85,0.06,63,7,40,0.0,15,0.05,0.1,1.0,0.85,5
1,0.05306427503736921,0.6232334448672797,0.024829191436850216,178,7,93,0.21242177333881365,16,0.7232250142857395,0.09644921218755018,1.1029224714790122,0.7467983561008608,61
2,0.05224429727740987,0.8099025726528951,0.02578995077917459,98,7,41,0.18355586841671384,31,0.02666020367873237,0.009148631342290037,1.6974693032602093,0.7912726728878613,6
3,0.05201465201465205,0.836965827544817,0.026378226388043956,214,4,66,0.051157237106187456,14,0.0014234237430895472,0.10128002032729375,1.3252579649263976,0.8542703315240835,42
4,0.05301794453507336,0.7760609974958405,0.022899946502903175,121,7,101,0.010316556334565519,30,0.0025284354680721634,0.04311156945735043,5.546602010393911,0.905269907953647,32
5,0.058769513314967825,0.9878338511058234,0.04267586982323341,163,6,51,0.26844820512829465,13,0.3620234481261911,1.2627407242820354,3.9894998940554256,0.7554563366576581,22
6,0.054826254826254806,0.7085396127095583,0.03139773876891814,71,3,39,0.08428035290621423,30,0.5441108375656201,0.015054052714725983,3.7134804157912424,0.8166031869068445,41
7,0.051862673484295074,0.602208846849441,0.058340167914120604,253,7,27,0.21870215041229618,10,0.4918839315632671,0.21545535601027507,4.856351733429729,0.7596147044602517,3
8,0.05197657393850663,0.6254233401144095,0.04745618916550281,229,4,31,0.21888185350141923,8,0.010630702683751063,0.011842404743806116,4.187787356776066,0.7992694074557948,3
9,0.052321296978629306,0.9083868719818244,0.057420667326657605,200,5,32,0.12826230550756487,29,0.04266129901139966,0.05315654549305854,1.1270956337204758,0.8683831592708489,11
10,0.051673944687045115,0.69971689165955,0.04047809464991722,123,3,84,0.06863944964748674,9,0.022630092996142572,0.311958606415208,1.3848995491439648,0.9722699421778279,96
11,0.0513196480938416,0.9214688307596458,0.04812569959381128,218,3,113,0.16180267257469522,14,0.004129270757976581,0.8838204109004728,5.037200775820312,0.9614381770563153,6
12,0.05193855157278715,0.9442922333025374,0.03615551126749431,106,4,31,0.1252233009446337,29,0.0010542635497393176,0.04852797464024819,2.1105390523536514,0.9454044297767479,8
13,0.05201465201465205,0.7454518409517176,0.041055663286569406,125,4,115,0.07553468874760924,9,1.6139192598341083,1.5033752280234232,3.4862425294619275,0.9109056876685533,13
14,0.060054595086442175,0.7114585856946446,0.04014883279690956,180,4,23,0.04346846162736693,14,0.9958935820671322,0.006177332623538314,3.447263801387815,0.7154436253749967,44
15,0.06089438629876309,0.7471132530877013,0.02780366539596527,209,4,87,0.16073240522242754,31,0.12225327812715714,0.12339585694468339,1.4514488502720415,0.9184649045835579,37
16,0.06577595066803699,0.6066351315711425,0.0453714852133241,70,4,38,0.19355183712283494,27,0.04902691271135982,0.005593315895623373,1.8718321450249573,0.9032693085526847,18
17,0.05182481751824819,0.9698774473114251,0.03209019824175177,89,4,114,0.1979952138102537,24,0.7872696728245766,0.00710351088390878,5.0861110010060795,0.7340420563721767,3
18,0.06304558680892336,0.8532405829093072,0.06937575254564769,80,5,44,0.2177867036610718,20,0.013156716288884488,0.01421514455969502,5.485551299762886,0.9701254171489991,9
19,0.04683377308707126,0.842571623863836,0.025023046206784506,79,6,84,0.19905053073241674,29,0.0010724072546751035,0.002162522360192723,1.0253079192310934,0.9695662565581238,4
20,0.05631399317406138,0.8825244455409779,0.07559280697270189,144,5,65,0.2979524860413895,22,0.12825030731340437,0.0013692823355564352,2.842467385735109,0.9368157161111555,10
21,0.06694560669456062,0.662443676566598,0.0749737307865117,146,5,54,0.2531788662792597,25,0.1562610033130783,0.0033432489071581616,2.345844550586073,0.9982302419839669,20
22,0.05078683834048636,0.6615355581140249,0.0776977893351879,144,5,55,0.24979838398100712,26,0.1518813931124767,0.0033661163113424034,2.53038695668874,0.9988049595242305,6
23,0.06256015399422521,0.6692439563400375,0.06691428410167151,89,5,52,0.24796199867373717,20,0.012695606483008182,0.023131718710615506,2.8373941591202376,0.9981027637909737,16
24,0.05193855157278715,0.6620395125266703,0.0675319197566115,111,6,60,0.29317993967852335,25,0.0064019251487384505,0.0029334171627201627,2.1014754926122414,0.8862930180445396,11
25,0.052631578947368474,0.7886498981574693,0.05026699782394648,140,5,75,0.2451359508829425,18,0.06819792497607648,0.0010964567088179785,2.01123262354343,0.9401389146389495,5
26,0.05028328611898014,0.6033998904338955,0.06739623309062093,83,6,50,0.270797144614602,22,0.2516132774113359,0.004508063463651105,3.005411836371337,0.9769898304923479,4
27,0.06114769520225771,0.8838888393837385,0.07945490112532783,67,5,43,0.17432754292336303,27,0.01583831629031819,0.02260215869090597,5.889786347122675,0.9303540268821674,10
28,0.051862673484295074,0.641577504731698,0.053137335211076185,101,5,72,0.23728275071823984,23,0.08813512735415355,0.0018836314896915065,4.525671232264725,0.8953192221085343,17
29,0.05205278592375362,0.7522110567081677,0.0638655524435948,65,6,45,0.13403211882493457,19,0.045632940189921735,0.004753884172387333,2.3106177047231804,0.8353793534372662,3
